"id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
42,"LY-294002",0.00001,6,"MCF7","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
43,"ciclosporin",0.000001,6,"MCF7","HG-U133A","ethanol","Calbiochem",239835,"cyclosporine A",NULL,NULL,"DB00091"
44,"indometacin",0.00002,6,"MCF7","HG-U133A","ethanol","Sigma-Aldrich","I8280","indomethacin, USP",NULL,NULL,"DB00328"
45,"clofibrate",0.00015,6,"MCF7","HG-U133A","ethanol","Calbiochem",231405,"clofibrate","C0009002",NULL,"DB00636"
46,"MK-886",0.000001,6,"MCF7","HG-U133A","ethanol","Calbiochem",475889,"MK-886",NULL,NULL,NULL
47,"prednisolone",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","P6004","prednisolone","C0071842",NULL,"DB00860"
48,"thalidomide",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T144","(+/-)-thalidomide","C0039736",NULL,"DB01041"
49,"genistein",0.000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",345834,"genistein",NULL,NULL,"DB01645"
50,"genistein",0.000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",345834,"genistein",NULL,NULL,"DB01645"
51,"fludrocortisone",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","F6127","fludrocortisone acetate","C0616274",NULL,"DB00687"
52,"fludrocortisone",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","F6127","fludrocortisone acetate","C0616274",NULL,"DB00687"
53,"quercetin",0.000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",551600,"quercetin dihydrate","C0034392",NULL,"DB04216"
54,"tacrolimus",0.000001,6,"MCF7","HG-U133A","DMSO","LC Laboratories","F-4900","FK-506","C0085149",NULL,"DB00864"
55,"sulindac",0.00005,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","S8139","sulindac","C0038792",NULL,"DB00605"
56,"sulindac sulfide",0.00005,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","S3131","sulindac sulfide",NULL,NULL,NULL
57,"exisulind",0.00005,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","S1438","sulindac sulfone","MMS_438",NULL,NULL
58,"fulvestrant",0.00000001,6,"MCF7","HG-U133A","DMSO","Tocris",1047,"ICI 182,780","C0935916",NULL,"DB00947"
59,"monastrol",0.0001,6,"MCF7","HG-U133A","DMSO","Tocris",1305,"monastrol","EXPT02296",NULL,"DB04331"
60,"staurosporine",0.000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",569397,"staurosporine","EXPT02970",NULL,"DB02010"
61,"NU-1025",0.0001,6,"MCF7","HG-U133A","DMSO","Calbiochem",493800,"NU1025",NULL,NULL,NULL
62,"exisulind",0.00005,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","S1438","sulindac sulfone","MMS_438",NULL,NULL
63,"acetylsalicylic acid",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475",NULL,"DB00945"
64,"flufenamic acid",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","F9005","flufenamic acid","C0016282",NULL,"DB02266"
65,"N-phenylanthranilic acid",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich",144509,"N-phenylanthranilic acid",NULL,NULL,NULL
66,"LY-294002",0.00001,6,"MCF7","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
67,"monorden",0.0000001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","R0212","radicicol",NULL,NULL,NULL
68,"sirolimus",0.0000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",553210,"rapamycin","C0072980",NULL,"DB00877"
69,"arachidonyltrifluoromethane",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","A231","arachidonyl trifluoromethyl ketone",NULL,NULL,NULL
70,"LY-294002",0.00001,6,"MCF7","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
71,"trichostatin A",0.0000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",647925,"trichostatin A",NULL,NULL,NULL
72,"trichostatin A",0.0000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",647925,"trichostatin A",NULL,NULL,NULL
73,"diclofenac",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","D6899","diclofenac sodium","C0700583",NULL,"DB00586"
74,"mercaptopurine",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","M7000","6-mercaptopurine monohydrate","APRD01096",NULL,"DB01033"
75,"nifedipine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","N7634","nifedipine","C0028066",NULL,"DB01115"
76,"nitrendipine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","N144","nitrendipine","C0028127",NULL,"DB01054"
77,"felodipine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","F9677","felodipine","C0015772",NULL,"DB01023"
78,"azathioprine",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","A2593","azathioprine, USP","C0887732",NULL,"DB00993"
79,"sodium phenylbutyrate",0.0001,6,"MCF7","HG-U133A","medium","Calbiochem",567616,"sodium 4-phenylbutyrate",NULL,NULL,"DB06819"
80,"novobiocin",0.0001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","N6160","novobiocin sodium, USP","C0028458",NULL,"DB01051"
81,"fasudil",0.00001,6,"MCF7","HG-U133A","medium","Calbiochem",371970,"HA-1077 dihydrochloride",NULL,NULL,NULL
82,"2-deoxy-D-glucose",0.01,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D3179","2-deoxy-D-glucose",NULL,NULL,"DB08831"
83,"valproic acid",0.01,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
84,"valproic acid",0.002,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
85,"valproic acid",0.0005,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
86,"valproic acid",0.00005,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
87,"LY-294002",0.00001,6,"HL60","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
88,"sirolimus",0.0000001,6,"HL60","HG-U133A","DMSO","Calbiochem",553210,"rapamycin","C0072980",NULL,"DB00877"
89,"sodium phenylbutyrate",0.0001,6,"HL60","HG-U133A","DMSO","Calbiochem",567616,"sodium 4-phenylbutyrate",NULL,NULL,"DB06819"
90,"trichostatin A",0.0000001,6,"HL60","HG-U133A","DMSO","Calbiochem",647925,"trichostatin A",NULL,NULL,NULL
91,"estradiol",0.0000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622",NULL,"DB00783"
92,"imatinib",0.00001,6,"MCF7","HG-U133A","DMSO","Novartis","Gleevec","Gleevec","C0935989",NULL,"DB00619"
93,"fulvestrant",0.000001,6,"MCF7","HG-U133A","DMSO","Tocris",1047,"ICI 182,780","C0935916",NULL,"DB00947"
94,"pirinixic acid",0.0001,6,"MCF7","HG-U133A","DMSO","Calbiochem",681725,"WY-14643",NULL,NULL,NULL
95,"rosiglitazone",0.00001,6,"HL60","HG-U133A","DMSO","LKT Laboratories","R5772","rosiglitazone maleate","C0289313",NULL,"DB00412"
96,"troglitazone",0.00001,6,"HL60","HG-U133A","DMSO","Sigma-Aldrich","T2573","troglitazone","C0245514",NULL,"DB00197"
97,"rofecoxib",0.00001,6,"HL60","HG-U133A","DMSO","LKT Laboratories","R5722","rofecoxib","C0762662",NULL,"DB00533"
98,"estradiol",0.00000001,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622",NULL,"DB00783"
99,"dexamethasone",0.000001,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","D4902","dexamethasone","C1372970",NULL,"DB01234"
100,"tamoxifen",0.000001,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","T9262","tamoxifen citrate","C0039286",NULL,"DB00675"
101,"raloxifene",0.0000001,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","R1402","raloxifene hydrochloride","C0618111",NULL,"DB00481"
102,"celecoxib",0.00001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","C1644","celecoxib","C0538927",NULL,"DB00482"
103,"tacrolimus",0.000001,6,"MCF7","HG-U133A","DMSO","LC Laboratories","F-4900","FK-506","C0085149",NULL,"DB00864"
104,"cobalt chloride",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C8661","cobalt(II) chloride hexahydrate",NULL,NULL,NULL
105,"tamoxifen",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T9262","tamoxifen citrate","C0039286",NULL,"DB00675"
106,"tanespimycin",0.000001,6,"MCF7","HG-U133A","DMSO","Tocris",1515,"17-AAG",NULL,NULL,NULL
107,"genistein",0.00001,6,"MCF7","HG-U133A","DMSO","Calbiochem",345834,"genistein",NULL,NULL,"DB01645"
108,"cobalt chloride",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C8661","cobalt(II) chloride hexahydrate",NULL,NULL,NULL
109,"tretinoin",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","R2625","retinoic acid","C0040845",NULL,"DB00755"
110,"estradiol",0.00000001,6,"HL60","HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622",NULL,"DB00783"
111,"raloxifene",0.0000001,6,"HL60","HG-U133A","DMSO","Sigma-Aldrich","R1402","raloxifene hydrochloride","C0618111",NULL,"DB00481"
112,"wortmannin",0.00000001,6,"HL60","HG-U133A","DMSO","Calbiochem",681675,"wortmannin",NULL,NULL,NULL
113,"tretinoin",0.000001,6,"HL60","HG-U133A","DMSO","Sigma-Aldrich","R2625","retinoic acid","C0040845",NULL,"DB00755"
114,"LY-294002",0.00001,6,"ssMCF7","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
115,"sirolimus",0.0000001,6,"ssMCF7","HG-U133A","DMSO","Calbiochem",553210,"rapamycin","C0072980",NULL,"DB00877"
116,"alpha-estradiol",0.00000001,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","E8750","alpha-estradiol",NULL,NULL,NULL
117,"wortmannin",0.00000001,6,"ssMCF7","HG-U133A","DMSO","Calbiochem",681675,"wortmannin",NULL,NULL,NULL
118,"tetraethylenepentamine",0.00001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich",375683,"tetraethylenepentamine pentahydrochloride",NULL,NULL,NULL
119,"tetraethylenepentamine",0.0001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich",375683,"tetraethylenepentamine pentahydrochloride",NULL,NULL,NULL
120,"sodium phenylbutyrate",0.001,6,"MCF7","HG-U133A","medium","Calbiochem",567616,"sodium 4-phenylbutyrate",NULL,NULL,"DB06819"
121,"sodium phenylbutyrate",0.001,6,"MCF7","HG-U133A","medium","Calbiochem",567616,"sodium 4-phenylbutyrate",NULL,NULL,"DB06819"
122,"valproic acid",0.001,6,"HL60","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
123,"valproic acid",0.01,6,"HL60","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
124,"sodium phenylbutyrate",0.001,6,"HL60","HG-U133A","medium","Calbiochem",567616,"sodium 4-phenylbutyrate",NULL,NULL,"DB06819"
125,"tetraethylenepentamine",0.0001,6,"HL60","HG-U133A","medium","Sigma-Aldrich",375683,"tetraethylenepentamine pentahydrochloride",NULL,NULL,NULL
126,"trichostatin A",0.0000001,6,"ssMCF7","HG-U133A","DMSO","Calbiochem",647925,"trichostatin A",NULL,NULL,NULL
127,"estradiol",0.00000001,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622",NULL,"DB00783"
128,"nordihydroguaiaretic acid",0.000001,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich",157619,"nordihydroguaiaretic acid",NULL,NULL,NULL
129,"clozapine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C6305","clozapine","C0009079",NULL,"DB00363"
130,"thioridazine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T9025","thioridazine hydrochloride","C0039943",NULL,"DB00679"
131,"haloperidol",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","H1512","haloperidol","C0720809",NULL,"DB00502"
132,"chlorpromazine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C0982","chlorpromazine hydrochloride","C0008286",NULL,"DB00477"
133,"trifluoperazine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T6062","trifluoperazine dihydrochloride","C0304381",NULL,"DB00831"
134,"thioridazine",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T9025","thioridazine hydrochloride","C0039943",NULL,"DB00679"
135,"staurosporine",0.0000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",569397,"staurosporine","EXPT02970",NULL,"DB02010"
136,"LY-294002",0.0000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
137,"staurosporine",0.00000001,6,"MCF7","HG-U133A","DMSO","Calbiochem",569397,"staurosporine","EXPT02970",NULL,"DB02010"
138,"chlorpromazine",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C0982","chlorpromazine hydrochloride","C0008286",NULL,"DB00477"
139,"iloprost",0.000001,6,"MCF7","HG-U133A","DMSO","Cayman Chemical",18215,"iloprost","C0079594",NULL,"DB01088"
140,"tanespimycin",0.000001,6,"MCF7","HG-U133A","DMSO","Tocris",1515,"17-AAG",NULL,NULL,NULL
141,"LY-294002",0.00001,6,"PC3","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
142,"rosiglitazone",0.00001,6,"PC3","HG-U133A","DMSO","LKT Laboratories","R5772","rosiglitazone maleate","C0289313",NULL,"DB00412"
143,"troglitazone",0.00001,6,"PC3","HG-U133A","DMSO","Sigma-Aldrich","T2573","troglitazone","C0245514",NULL,"DB00197"
144,"tanespimycin",0.000001,6,"PC3","HG-U133A","DMSO","Tocris",1515,"17-AAG",NULL,NULL,NULL
145,"valproic acid",0.001,6,"PC3","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
146,"sodium phenylbutyrate",0.001,6,"PC3","HG-U133A","medium","Calbiochem",567616,"sodium 4-phenylbutyrate",NULL,NULL,"DB06819"
147,"novobiocin",0.0001,6,"PC3","HG-U133A","medium","Sigma-Aldrich","N6160","novobiocin sodium, USP","C0028458",NULL,"DB01051"
148,"fasudil",0.00001,6,"PC3","HG-U133A","medium","Calbiochem",371970,"HA-1077 dihydrochloride",NULL,NULL,NULL
149,"novobiocin",0.0001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","N6160","novobiocin sodium, USP","C0028458",NULL,"DB01051"
150,"copper sulfate",0.0001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich",203165,"copper(II) sulfate pentahydrate","C0056301",NULL,NULL
151,"oxamic acid",0.01,6,"MCF7","HG-U133A","medium","Pfaltz and Bauer",3850,"oxamic acid sodium salt","EXPT02460",NULL,"DB03940"
152,"W-13",0.00001,6,"MCF7","HG-U133A","medium","Calbiochem",681636,"W-13, hydrochloride",NULL,NULL,NULL
153,"arachidonic acid",0.00001,6,"MCF7","HG-U133A","ethanol","Sigma-Aldrich","A8798","arachidonic acid sodium salt","EXPT00409",NULL,"DB04557"
154,"oligomycin",0.000001,6,"MCF7","HG-U133A","ethanol","Sigma-Aldrich",861944,"oligomycin",NULL,NULL,NULL
155,"arachidonic acid",0.00001,6,"MCF7","HG-U133A","ethanol","Sigma-Aldrich","A8798","arachidonic acid sodium salt","EXPT00409",NULL,"DB04557"
156,"clofibrate",0.0001,6,"MCF7","HG-U133A","ethanol","Calbiochem",231405,"clofibrate","C0009002",NULL,"DB00636"
157,"diclofenac",0.00001,6,"PC3","HG-U133A","DMSO","Sigma-Aldrich","D6899","diclofenac sodium","C0700583",NULL,"DB00586"
158,"15-delta prostaglandin J2",0.00001,6,"PC3","HG-U133A","DMSO","Calbiochem",538927,"15d-PGJ2",NULL,NULL,NULL
159,"tretinoin",0.000001,6,"PC3","HG-U133A","DMSO","Sigma-Aldrich","R2625","retinoic acid","C0040845",NULL,"DB00755"
160,"trichostatin A",0.0000001,6,"PC3","HG-U133A","DMSO","Calbiochem",647925,"trichostatin A",NULL,NULL,NULL
161,"monorden",0.0000001,6,"PC3","HG-U133A","DMSO","LKT Laboratories","R0212","radicicol",NULL,NULL,NULL
162,"tanespimycin",0.000001,6,"PC3","HG-U133A","DMSO","Tocris",1515,"17-AAG",NULL,NULL,NULL
163,"TTNPB",0.0000001,6,"PC3","HG-U133A","DMSO","Sigma-Aldrich","T3757","TTNPB","EXPT03128",NULL,"DB02877"
164,"indometacin",0.0001,6,"PC3","HG-U133A","DMSO","Sigma-Aldrich","I8280","indomethacin, USP",NULL,NULL,"DB00328"
165,"indometacin",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","I8280","indomethacin, USP",NULL,NULL,"DB00328"
166,"cobalt chloride",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C8661","cobalt(II) chloride hexahydrate",NULL,NULL,NULL
167,"prochlorperazine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","P9178","prochlorperazine dimaleate salt","C0770888",NULL,"DB00433"
168,"quinpirole",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","Q102","(-)-quinpirole hydrochloride",NULL,NULL,NULL
169,"tetraethylenepentamine",0.0001,6,"PC3","HG-U133A","medium","Sigma-Aldrich",375683,"tetraethylenepentamine pentahydrochloride",NULL,NULL,NULL
170,"valproic acid",0.001,6,"PC3","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
171,"copper sulfate",0.0001,6,"PC3","HG-U133A","medium","Sigma-Aldrich",203165,"copper(II) sulfate pentahydrate","C0056301",NULL,NULL
172,"deferoxamine",0.0001,6,"PC3","HG-U133A","medium","Sigma-Aldrich","D-9533","deferoxamine mesylate salt","C0011145",NULL,"DB00746"
173,"LY-294002",0.00001,6,"PC3","HG-U133A","DMSO","Calbiochem",440202,"LY294002",NULL,NULL,NULL
174,"troglitazone",0.00001,6,"PC3","HG-U133A","DMSO","Sigma-Aldrich","T2573","troglitazone","C0245514",NULL,"DB00197"
175,"rofecoxib",0.00001,6,"PC3","HG-U133A","DMSO","LKT Laboratories","R5722","rofecoxib","C0762662",NULL,"DB00533"
176,"pirinixic acid",0.0001,6,"PC3","HG-U133A","DMSO","Calbiochem",681725,"WY-14643",NULL,NULL,NULL
177,"pirinixic acid",0.0001,6,"PC3","HG-U133A","DMSO","Calbiochem",681725,"WY-14643",NULL,NULL,NULL
178,"celecoxib",0.00001,6,"PC3","HG-U133A","DMSO","LKT Laboratories","C1644","celecoxib","C0538927",NULL,"DB00482"
179,"imatinib",0.00001,6,"PC3","HG-U133A","DMSO","Novartis","Gleevec","Gleevec","C0935989",NULL,"DB00619"
180,"monorden",0.0000001,6,"PC3","HG-U133A","DMSO","LKT Laboratories","R0212","radicicol",NULL,NULL,NULL
181,"deferoxamine",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","D-9533","deferoxamine mesylate salt","C0011145",NULL,"DB00746"
182,"calmidazolium",0.000005,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich",21265,"calmidazolium chloride",NULL,NULL,NULL
183,"pirinixic acid",0.0001,6,"MCF7","HG-U133A","DMSO","Calbiochem",681725,"WY-14643",NULL,NULL,NULL
184,"iloprost",0.000001,6,"MCF7","HG-U133A","DMSO","Cayman Chemical",18215,"iloprost","C0079594",NULL,"DB01088"
185,"monorden",0.0000001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","R0212","radicicol",NULL,NULL,NULL
186,"fluphenazine",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","F8548","fluphenazine dihydrochloride","C0700567",NULL,"DB00623"
187,"dopamine",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","H8502","dopamine hydrochloride","C0013030",NULL,"DB00988"
188,"haloperidol",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","H1512","haloperidol","C0720809",NULL,"DB00502"
189,"monorden",0.0000001,6,"SKMEL5","HG-U133A","DMSO","LKT Laboratories","R0212","radicicol",NULL,NULL,NULL
190,"fluphenazine",0.00001,6,"SKMEL5","HG-U133A","DMSO","Sigma-Aldrich","F8548","fluphenazine dihydrochloride","C0700567",NULL,"DB00623"
191,"pirinixic acid",0.0001,6,"SKMEL5","HG-U133A","DMSO","Calbiochem",681725,"WY-14643",NULL,NULL,NULL
192,"iloprost",0.000001,6,"SKMEL5","HG-U133A","DMSO","Cayman Chemical",18215,"iloprost","C0079594",NULL,"DB01088"
